item,item_deleted,item_count,iterations_count,time_in_nanoseconds
918533,true,9957,13,9013
718636,true,9956,13,7514
891501,true,9955,14,3115
759506,true,9954,13,3350
285574,true,9953,14,3302
995686,true,9952,14,2394
948676,true,9951,12,2414
64209,true,9950,13,2723
760976,true,9949,13,2469
557215,true,9948,8,3282
478853,true,9947,15,5780
536638,true,9946,12,2771
88821,true,9945,13,2337
140099,true,9944,14,2524
176507,true,9943,14,4364
688590,true,9942,14,2400
314215,true,9941,12,2488
515854,true,9940,14,3078
5284,true,9939,15,2914
130410,true,9938,14,1931
52159,true,9937,15,2586
93919,true,9936,13,2728
56318,true,9935,14,1875
479084,true,9934,14,3736
876991,true,9933,13,2195
753792,true,9932,15,2911
31635,true,9931,13,2137
107807,true,9930,14,3022
633645,true,9929,10,2735
200781,true,9928,15,2767
626842,true,9927,13,1826
293389,true,9926,13,2333
355808,true,9925,13,2553
349662,true,9924,13,2298
812186,true,9923,12,2467
204138,true,9922,12,2723
929226,true,9921,13,2689
151237,true,9920,15,2517
873293,true,9919,11,2969
870958,true,9918,7,2112
497104,true,9917,14,2100
591922,true,9916,15,3302
956776,true,9915,14,3905
560068,true,9914,13,2725
81152,true,9913,14,2006
590675,true,9912,9,1969
421983,true,9911,13,2353
177581,true,9910,14,2160
420780,true,9909,12,2350
337029,true,9908,13,2774
593276,true,9907,13,2298
514781,true,9906,14,2285
779646,true,9905,15,2279
190849,true,9904,14,2055
643423,true,9903,14,2107
532584,true,9902,14,1905
768941,true,9901,14,2186
544938,true,9900,14,2346
428584,true,9899,12,3993
421707,true,9898,13,1687
817837,true,9897,12,2654
254524,true,9896,14,2407
592330,true,9895,15,1693
757195,true,9894,14,2625
301050,true,9893,14,2384
661417,true,9892,15,2328
655585,true,9891,14,2539
103874,true,9890,15,2419
664168,true,9889,14,2312
936463,true,9888,13,2248
857728,true,9887,14,2120
74756,true,9886,13,2303
505177,true,9885,14,3823
62794,true,9884,14,1953
554815,true,9883,13,2205
876256,true,9882,5,2189
911507,true,9881,10,2434
774930,true,9880,14,2378
985593,true,9879,12,2677
345767,true,9878,12,2052
526882,true,9877,16,3453
278257,true,9876,12,2653
259884,true,9875,11,1783
955872,true,9874,14,3138
772065,true,9873,14,1952
972012,true,9872,14,4286
999070,true,9871,13,1868
195477,true,9870,13,1982
633125,true,9869,13,1930
567487,true,9868,13,2420
178778,true,9867,15,2517
941541,true,9866,11,2543
65265,true,9865,14,1840
626090,true,9864,14,1918
265934,true,9863,13,1835
580242,true,9862,12,2309
108762,true,9861,13,2779
738195,true,9860,13,1998
926668,true,9859,13,2528
904467,true,9858,13,2057
34273,true,9857,12,3704
720012,true,9856,10,2535
538234,true,9855,14,1841
906376,true,9854,13,2066
990795,true,9853,14,3070
352567,true,9852,13,2269
44046,true,9851,13,1670
535289,true,9850,12,4329
376559,true,9849,9,2832
59591,true,9848,14,2810
245958,true,9847,12,2240
20607,true,9846,13,1706
433618,true,9845,13,2185
468825,true,9844,14,1949
