item,item_found,item_count,iterations_count,time_in_nanoseconds
481153,true,9951,15,7308
700038,true,9951,15,4210
340449,true,9951,14,2614
256562,true,9951,14,2379
204512,true,9951,13,2249
990900,true,9951,15,2937
958101,true,9951,14,2112
56686,true,9951,13,2225
837071,true,9951,15,2546
325023,true,9951,9,992
935359,true,9951,13,1774
243661,true,9951,13,1542
759251,true,9951,11,1232
281939,true,9951,13,1677
605224,true,9951,16,2192
130666,true,9951,11,1369
247878,true,9951,15,1830
70663,true,9951,8,937
362911,true,9951,15,2578
666377,true,9951,14,2065
492110,true,9951,15,3084
303790,true,9951,15,2306
260628,true,9951,14,1689
801981,true,9951,15,1758
464668,true,9951,13,2714
418374,true,9951,12,1559
318407,true,9951,14,1612
725102,true,9951,12,1448
981616,true,9951,14,1918
871677,true,9951,15,1815
888482,true,9951,15,1568
189449,true,9951,15,2617
313166,true,9951,14,1289
35705,true,9951,12,1284
329502,true,9951,15,1717
632189,true,9951,14,1861
708745,true,9951,14,2026
753170,true,9951,11,945
357015,true,9951,14,1696
931558,true,9951,14,1680
668896,true,9951,15,1506
294989,true,9951,16,2174
857084,true,9951,13,1450
891810,true,9951,14,1398
452732,true,9951,13,1579
538483,true,9951,12,1432
285021,true,9951,15,2081
662149,true,9951,12,1035
908159,true,9951,14,1797
326265,true,9951,14,1635
779703,true,9951,14,1882
255860,true,9951,15,2136
33741,true,9951,14,1461
958392,true,9951,13,1688
677516,true,9951,14,1484
111904,true,9951,13,1534
65593,true,9951,15,1615
451729,true,9951,11,863
580400,true,9951,12,1372
780305,true,9951,12,552
535595,true,9951,13,1245
556816,true,9951,14,1749
894883,true,9951,17,1702
929709,true,9951,15,1514
971131,true,9951,14,1828
704170,true,9951,11,941
47028,true,9951,12,1152
306456,true,9951,9,687
176562,true,9951,12,1518
275344,true,9951,13,1307
113115,true,9951,14,1234
534287,true,9951,15,1249
417141,true,9951,12,962
679827,true,9951,15,1584
637283,true,9951,13,1325
495824,true,9951,15,2238
534997,true,9951,15,932
727996,true,9951,15,1690
137338,true,9951,15,2097
628280,true,9951,16,1817
949041,true,9951,13,1167
153164,true,9951,11,1290
158433,true,9951,12,1660
309347,true,9951,14,1297
219060,true,9951,12,1618
876415,true,9951,15,1729
27973,true,9951,15,2225
662852,true,9951,8,391
131139,true,9951,14,3951
679823,true,9951,11,607
1293,true,9951,15,1621
906002,true,9951,14,1515
186030,true,9951,15,1900
944936,true,9951,15,1869
546228,true,9951,13,1375
43023,true,9951,15,1589
952901,true,9951,14,1817
397423,true,9951,13,1198
188412,true,9951,14,1320
127524,true,9951,12,1126
