item,item_count,iterations_count,time_in_nanoseconds
129844,0,1,6413
909942,1,2,3631
190962,2,4,16615
510796,3,4,4029
995388,4,3,2885
735565,5,5,2980
203586,6,4,1913
524880,7,7,9284
430804,8,4,1869
987908,9,4,1861
497318,10,6,2990
813765,11,4,2074
306835,12,7,2695
755583,13,6,2511
323119,14,7,3248
816973,15,5,1934
876256,16,8,4131
930499,17,7,2802
431051,18,5,2255
18737,19,4,2068
676949,20,5,2382
779370,21,5,2222
293496,22,8,18514
176877,23,5,1921
690367,24,7,2951
60928,25,8,2673
696724,26,8,3365
165332,27,6,2412
264898,28,7,3589
315198,29,5,1915
462161,30,7,3168
114977,31,8,3001
436569,32,7,2833
885729,33,7,2992
267460,34,7,2650
5340,35,10,3320
575420,36,6,2232
208101,37,6,1968
848860,38,7,2334
880230,39,6,1899
456410,40,8,3857
248803,41,8,3458
376559,42,5,2301
527585,43,8,3699
456325,44,9,4154
488068,45,6,2172
641968,46,9,4258
102334,47,7,2842
134126,48,8,4684
131681,49,8,2923
152061,50,7,1984
793060,51,8,3452
40965,52,7,2409
546937,53,6,2271
652053,54,9,3005
878522,55,8,3192
470594,56,8,3363
622670,57,7,2332
73255,58,9,3234
912465,59,7,2808
721154,60,8,3143
468572,61,9,2984
117893,62,11,2852
844721,63,8,3674
454473,64,8,3349
552759,65,7,2239
233272,66,8,6988
147326,67,9,2457
577830,68,10,3690
879296,69,9,2941
559405,70,9,2814
950279,71,6,1781
242804,72,9,3010
853379,73,8,2916
30412,74,9,18935
712876,75,8,3505
672316,76,7,2290
214704,77,10,3912
790441,78,8,2614
89961,79,8,2288
578040,80,9,3611
617204,81,11,2516
97235,82,10,3191
160515,83,8,2141
640755,84,8,2189
740724,85,7,2364
688714,86,7,2212
142349,87,11,3940
65036,88,12,3658
437478,89,8,2793
394319,90,8,3103
37591,91,9,4004
812825,92,7,2399
571979,93,9,2764
923603,94,8,3128
647028,95,7,2150
109543,96,7,2074
961997,97,7,2154
439953,98,9,3406
390695,99,9,3347
748064,100,9,3662
337009,101,10,3571
799351,102,10,3316
389482,103,7,1924
57670,104,9,2592
378936,105,10,2451
48063,106,10,4102
812698,107,10,3980
304859,108,8,2260
126808,109,9,2725
101213,110,8,2385
480130,111,7,2246
958563,112,9,3926
648146,113,9,2785
790481,114,8,2858
177986,115,8,2049
512193,116,7,1815
218032,117,10,4013
424796,118,7,2616
864603,119,9,3457
415998,120,9,3433
644893,121,8,3106
796431,122,11,4197
11290,123,7,2378
845225,124,10,2950
457888,125,7,2281
958782,126,10,4176
579231,127,13,3956
687192,128,9,4153
698935,129,9,3378
811476,130,8,1592
546698,131,8,1869
503372,132,7,1825
